name,country,subcountry,geonameid
les Escaldes,Andorra,Escaldes-Engordany,3040051
Andorra la Vella,Andorra,Andorra la Vella,3041563
Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn,290594
Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah,291074
Khawr Fakkān,United Arab Emirates,Ash Shāriqah,291696
Dubai,United Arab Emirates,Dubai,292223
Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,292231
Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,292239
Sharjah,United Arab Emirates,Ash Shāriqah,292672
Ar Ruways,United Arab Emirates,Abu Dhabi,292688
Al Fujayrah,United Arab Emirates,Al Fujayrah,292878
Al Ain,United Arab Emirates,Abu Dhabi,292913
Ajman,United Arab Emirates,Ajman,292932
Adh Dhayd,United Arab Emirates,Ash Shāriqah,292953
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968
Zaranj,Afghanistan,Nīmrūz,1120985
Taloqan,Afghanistan,Takhār,1123004
Shīnḏanḏ,Afghanistan,Herat,1125155
Shibirghān,Afghanistan,Jowzjān,1125444
Shahrak,Afghanistan,Ghowr,1125896
Sar-e Pul,Afghanistan,Sar-e Pol,1127110
Sang-e Chārak,Afghanistan,Sar-e Pol,1127628
Aībak,Afghanistan,Samangān,1127768
Rustāq,Afghanistan,Takhār,1128265
Qarqīn,Afghanistan,Jowzjān,1129516
Qarāwul,Afghanistan,Kunduz,1129648
Pul-e Khumrī,Afghanistan,Wilāyat-e Baghlān,1130490
Paghmān,Afghanistan,Kabul,1131316
Nahrīn,Afghanistan,Wilāyat-e Baghlān,1132495
